Rank	Soil	Compartment	OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	Kingdom	Phylum	Class	Order	Family	Genus	Species	Clustering	Assignment	PhyClass
1	OTU	A	BS	594259	4.09219605291117	-8.90911946929293	1.96106643951436	-4.54299726402905	5.54599716095164e-06	0.0132715712061573	Bacteria	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Symbiobacterium	unclassified	Reference	Microbial	Firmicutes
2	OTU	A	BS	415661	5.44491806122612	5.34808743606068	1.13949580407904	4.69338054332117	2.68726935898358e-06	0.00643063557604771	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified	unclassified	Reference	Microbial	Proteobacteria.Betaproteobacteria
3	OTU	A	BS	106310	3.56878784885846	4.42597989003875	0.921244940576207	4.8043464827828	1.5525777042363e-06	0.00371531844623747	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified	unclassified	Reference	Microbial	Proteobacteria.Betaproteobacteria
4	OTU	A	BS	152581	4.24089347721254	2.42873149725554	0.567287229282701	4.28130825424453	1.85797777134179e-05	0.0444614080682091	Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	unclassified	Reference	Microbial	Proteobacteria.Betaproteobacteria
5	OTU	A	BS	658233	12.7193222208926	-5.39953076451389	1.25037567439916	-4.31832678375521	1.57216537240766e-05	0.0376219173617153	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Crenotrichaceae	Crenothrix	unclassified	Reference	Microbial	Proteobacteria.Gammaproteobacteria
6	OTU	A	BS	4401982	2.64206504963385	3.22897111508402	0.708592454268144	4.55688046864541	5.19189502561877e-06	0.0124242047963057	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	unclassified	unclassified	Reference	Microbial	Nitrospirae
7	OTU	A	BS	937735	2.18293289686725	3.1245906175499	0.649209745257171	4.81291391630629	1.48745372136361e-06	0.00355947675522313	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	unclassified	unclassified	unclassified	Reference	Microbial	Actinobacteria
8	OTU	A	BS	575613	12.3041606053631	-8.2983913024964	1.87424345529826	-4.4275951872943	9.52895247519539e-06	0.0228027832731426	Bacteria	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Symbiobacterium	unclassified	Reference	Microbial	Firmicutes
9	OTU	A	BS	1110462	7.39334843743753	4.72204772580461	1.06623996060534	4.42869138305766	9.48065692399441e-06	0.0226872120191186	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	unclassified	unclassified	unclassified	Reference	Microbial	Bacteroidetes
10	OTU	A	BS	928195	3.12020791540124	4.73874175657353	0.976031356280975	4.85511221138408	1.20318591965156e-06	0.00287922390572619	Bacteria	Armatimonadetes	0319-6E2	unclassified	unclassified	unclassified	unclassified	Reference	Microbial	Armatimonadetes
11	OTU	A	BS	592499	22.8434046750861	-6.49844141345685	1.46494127177402	-4.43597401388475	9.16569051080792e-06	0.0219334973923633	Bacteria	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Symbiobacterium	unclassified	Reference	Microbial	Firmicutes
12	OTU	A	BS	113261	3.49622813349054	5.04231945736251	1.01808824526324	4.95273320443724	7.31782755057662e-07	0.00175115613285299	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified	Reference	Microbial	Proteobacteria.Deltaproteobacteria
13	OTU	A	BS	751862	7.67527987897209	4.58660740581459	1.04372866227072	4.39444423786927	1.11056505116258e-05	0.0265758216743206	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	unclassified	unclassified	Reference	Microbial	Proteobacteria.Alphaproteobacteria
14	OTU	A	BS	593303	3.42582389525858	-6.57820281290665	1.49620679550723	-4.3965866434102	1.09966476650935e-05	0.0263149778625688	Bacteria	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Symbiobacterium	unclassified	Reference	Microbial	Firmicutes
15	OTU	A	BS	New.ReferenceOTU1434	3.22010514465546	5.23849196712896	1.15322323770605	4.54247867702455	5.559662161041e-06	0.0133042715513711	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	unclassified	DeNovo	Microbial	Actinobacteria
